passage_number,passage_key,passage_id,web_passage_id,display_order,treatment,translation_run_id,profile_name,model,rating_id,greta_rating,greta_prediction_rank,composite_divergence,lexical_divergence,neural_divergence,absolute_rank_error,candidate_words,reference_words,bleu4,chrfpp,meteor,rouge_l,unigram_f1,trigram_f1,char_trigram_f1,word_edit_similarity,bertscore,comet,xcomet,bleurt,rating_created_at,rating_updated_at,candidate_text,reference_text
1,xin-shi-wei-zhong-01,1,900001,6,parallage,1,classical_chinese_focal_scholarly,gpt-5.5,71,3,1.66666667,4.58333333,4.72222222,4.16666667,2.91666667,40,42,0.39416778,0.67000473,0.72612562,0.75609756,0.75609756,0.41025641,0.70163934,0.69047619,0.95959187,0.79104829,0.76147652,0.75121814,2026-07-08 23:46:58,2026-07-08 23:46:58,"The heart-mind is the center: it dwells in the midst of the body and rules it as lord; the four—eyes, ears, mouth, and heels/feet—serve as its ministers. This heart-mind is what is called the center.","The heart-mind is the centre; it occupies in the centre of the body so as to rule it (ie., the body); the four—eyes, ears, mouth, and heels—serve as its ministers. The heart-mind is what is called the centre."
2,xin-shi-wei-zhong-02,2,900002,7,single,53,classical_chinese_focal_scholarly,gpt-5.5,75,4,3.88888889,3.19444444,2.08333333,3.88888889,0.69444444,28,28,0.74399172,0.85887875,0.92688081,0.92857143,0.92857143,0.69230769,0.85950413,0.89285714,0.97269934,0.79052633,0.70224017,0.77301627,2026-07-08 23:58:54,2026-07-08 23:58:54,"What the mind does, whether good or evil, returns/reproaches like a shadow; what the mind sends forth, whether small or great, follows the call like an echo.","What the heart-mind does, whether good or evil, returns like a shadow; what the mind sends forth, whether small or great, follows the command like an echo."
3,xin-shi-wei-zhong-03,3,900003,9,parallage,109,classical_chinese_focal_scholarly,gpt-5.5,72,4,3.88888889,2.08333333,2.91666667,1.11111111,1.80555556,51,54,0.77303258,0.79325671,0.87307468,0.89523810,0.89523810,0.67326733,0.79901961,0.87037037,0.98202986,0.80365795,0.83008099,0.85789257,2026-07-08 23:48:27,2026-07-08 23:48:27,"When the mind wishes to see it, the eyes therefore look at it; when the mind wishes to hear it, the ears therefore listen to it; when the mind wishes to speak of it, the mouth therefore says it; when the mind wishes to use it, the heel therefore lifts it.","When the heart-mind desires to see it, the eyes therefore look at it; when the mind desire to hear it, the ears therefore listen to it; when the heart-mind desires to speak of it, the mouth therefore says it; when the heart-mind desires to use it, the heel therefore lifts it."
4,xin-shi-wei-zhong-04,4,900004,1,parallage,165,classical_chinese_focal_scholarly,gpt-5.5,68,8,8.33333333,10.00000000,9.86111111,10.00000000,1.66666667,40,37,0.09223350,0.36568917,0.46256702,0.41558442,0.51948052,0.08219178,0.34437086,0.27500000,0.87774163,0.61286026,0.32307988,0.48247212,2026-07-08 23:32:22,2026-07-08 23:32:22,"Keep the mind still, with nothing to which it goes. Of the hundred bodily parts and the four forms, none is not [affected / responsive]. Let one who is a ruler take this as his mirror, and so rule the people.","When the heart-mind is calm, none of the hundred bodies’ four ministers (ie., eyes, ears, mouth, and heels) is not (still). One who is the ruler should observe that so that he can rule the people."
5,xin-shi-wei-zhong-05,5,900005,2,single,221,classical_chinese_focal_scholarly,gpt-5.5,73,8,8.33333333,5.83333333,5.97222222,6.11111111,2.50000000,64,68,0.40810188,0.58266284,0.68032891,0.69696970,0.63636364,0.31250000,0.59550562,0.61764706,0.96343672,0.75490344,0.66292197,0.74931836,2026-07-08 23:57:56,2026-07-08 23:57:56,"When people undertake something yet do not know its outcome, is it not simply that they plan but do not take measure? If they plan but do not take measure, then they have no means to know what is short and what is long. Not knowing short and long, they act rashly, striking crosswise and colliding; if they achieve success, it is called luck.","When one does something and yet does not know its result, is it not simply that he plans but does not take measure? If he plans but does not take measure, then he has no way to know what is short and what is long. Not knowing short and long, he acts rashly, making crossings-and-collisions. If he was successful, it would be what is named luck."
6,xin-shi-wei-zhong-06,6,900006,4,parallage,277,classical_chinese_focal_scholarly,gpt-5.5,70,9,10.00000000,7.63888889,7.36111111,7.77777778,2.36111111,29,33,0.34077853,0.56512249,0.63266871,0.64516129,0.67741935,0.31034483,0.58237548,0.45454545,0.92171329,0.74825370,0.52912426,0.68694466,2026-07-08 23:43:38,2026-07-08 23:43:38,Good fortune is Heaven; knowing the outcome of an affair is the mind. Only when mind and Heaven are both present does the affair thereby truly come to completion.,Luck is (due to) Heaven; knowing the outcome of an affair is (because of) the heart-mind. It must be with both heart-mind and Heaven can the affair truly come to completion.
7,xin-shi-wei-zhong-07,7,900007,8,single,333,classical_chinese_focal_scholarly,gpt-5.5,76,5,6.11111111,8.47222222,8.61111111,8.88888889,2.36111111,39,35,0.17698322,0.50457695,0.63181142,0.67567568,0.56756757,0.05714286,0.55151515,0.41025641,0.90647876,0.70618576,0.42858636,0.58565301,2026-07-08 23:59:27,2026-07-08 23:59:27,"Calm the mind and deliberate on it; examine it, measure it, and take it as a mirror. In hearing and questioning, in looking and listening, amid the gathered “herd” of what is good, the mind there acts for it.","The tranquil heart-mind deliberates on it, examines it, measures it, and reflects on it. In hearing, questioning, looking and listening, lies within the gathered goodness (for which) the heart-mind thereby acts for it."
8,xin-shi-wei-zhong-08,8,900008,3,parallage,389,classical_chinese_focal_scholarly,gpt-5.5,69,5,6.11111111,1.66666667,1.66666667,2.22222222,4.44444444,36,34,0.78959591,0.89069976,0.92807393,0.94285714,0.88571429,0.78787879,0.87697161,0.86111111,0.98601329,0.85371596,0.67052907,0.79967672,2026-07-08 23:38:19,2026-07-08 23:38:19,The determining of life-allotment lies with Heaven; harsh illnesses lie with ghosts; the taking of life lies with human beings. A person has a Heaven-given allotment; he also has a bodily allotment of life.,The determining of life-allotment lies with Heaven; severe illness lies with ghosts; the taking of life lies with human beings. A person has a Heaven-given allotment; he also has a bodily life.
9,xin-shi-wei-zhong-09,9,900009,5,single,445,classical_chinese_focal_scholarly,gpt-5.5,74,2,0.00000000,6.11111111,6.80555556,5.00000000,6.11111111,30,32,0.39941361,0.60302540,0.62044025,0.61290323,0.61290323,0.37931034,0.59919028,0.59375000,0.93737531,0.77765357,0.69458419,0.77568841,2026-07-08 23:58:24,2026-07-08 23:58:24,"The heart-mind: through it one dies; the heart-mind: through it one lives. Death and life rest with Heaven, yet perhaps the fault also lies in the heart-mind.","The heart-mind is what leads to death, the heart-mind is what leads to life.  Death and life rest with Heaven, yet perhaps their failure, too lies in the heart-mind."
10,xin-shi-wei-zhong-10,10,900010,10,single,501,classical_chinese_focal_scholarly,gpt-5.5,77,3,1.66666667,0.41666667,0.00000000,0.83333333,1.25000000,39,39,0.83346766,0.90388672,0.94846510,0.94871795,0.94871795,0.86486486,0.93557423,0.94871795,0.99082768,0.82646459,0.81726509,0.84308535,2026-07-08 23:59:49,2026-07-08 23:59:49,"Let rulers, dukes, marquises, kings, commoners, and ordinary people not pray only to spirits and Heaven for the preservation of their households to the end of their lives; let them also seek it from their [mind/heart] and body.","Let rulers, dukes, marquises, kings, commoners, and ordinary people not pray merely to ghosts and Heaven for the preservation of their households to the end of their lives. Let them also seek it from their [mind/heart] and body."
